name,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Instant Crush (feat. Julian Casablancas),2cGxRwrMyEAp8dEbuZaVv6,0.775,0.585,-9.516,0.0271,0.0422,109.942,0.077,0.518
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,-8.966,0.038,0.0426,116.047,0.101,0.862
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,-8.966,0.038,0.0426,116.047,0.101,0.862
Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,0.633,0.927,-4.468,0.0839,0.0267,146.097,0.0986,0.88
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,-8.966,0.038,0.0426,116.047,0.101,0.862
The Man Who Sold The World,15VRO9CQwMpbqUYA7e6Hwg,0.483,0.753,-8.937,0.0832,0.425,115.102,0.257,0.42
CASTLE OF GLASS,1r1fPuhj9H4VdXr7OK6FL5,0.615,0.911,-3.584,0.0278,0.0686,108,0.0908,0.685
Dancin - Krono Remix,4IlqQhaxrGPxmg35YcXXuS,0.751,0.727,-9.789,0.0304,0.0442,119.982,0.1,0.28
Lalala,51Fjme0JiitpyXKuyQiCDo,0.843,0.39,-7.899,0.0846,0.178,129.972,0.137,0.495
Wherever I Go,46jLy47W8rkf8rEX04gMKB,0.552,0.689,-6.444,0.0425,0.0915,99.961,0.27,0.349
Jee Le Zaraa,2r32XiAWtZbT3eLUvf4pag,0.584,0.698,-6.61,0.0376,0.447,79.993,0.0699,0.436
No Competition,1TRgZ55GFCKSbrTb62rmra,0.868,0.635,-6.352,0.227,0.164,90.019,0.0898,0.621
Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,-8.409,0.0335,0.206,122.062,0.107,0.453
Slipping Away,07AbRgKmb5KfppwtZbZqDI,0.693,0.547,-9.02,0.041,0.42,77.968,0.102,0.774
Ohi Munda,2vIkZF1SNbNTSZT75EaCmq,0.808,0.816,-3.657,0.232,0.281,93.022,0.131,0.614
Shikayat,0joUfazLPdWW6CdDwSoN1Z,0.715,0.433,-9.349,0.306,0.214,82.117,0.394,0.668
Falling,0Aqi7ArnBrGblW5T6p2jmD,0.785,0.431,-8.756,0.0364,0.123,127.085,0.0887,0.236
Black Beatles,6fujklziTHa8uoM5OQSfIo,0.794,0.632,-6.163,0.0649,0.142,145.926,0.128,0.355
Aarzu,5pBRSczAiFZEtrIwH1LqAo,0.911,0.383,-6.733,0.0737,0.34,114.999,0.0993,0.259
No Love,08Isz2ETWSBhvIl8UpKYsp,0.768,0.487,-8.936,0.0431,0.24,137.034,0.175,0.722
Blood's Thicker Than Water,5y0YR8iWYEvqXkqVkJN2KG,0.643,0.591,-7.832,0.0565,0.552,90.031,0.18,0.558
Spiderman,07Ujq6bu2hQBLWfNuTkO01,0.727,0.531,-7.547,0.0621,0.134,129.908,0.111,0.277
Wow.,7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,-7.359,0.208,0.136,99.96,0.103,0.388
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,-8.409,0.0335,0.206,122.062,0.107,0.453
Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,-8.409,0.0335,0.206,122.062,0.107,0.453
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
Sweet Disposition,1jUkHIMc7UaJQuzWe5Iop2,0.542,0.813,-6.89,0.0429,0.0765,129.09,0.116,0.305
Sweet Disposition,1jUkHIMc7UaJQuzWe5Iop2,0.542,0.813,-6.89,0.0429,0.0765,129.09,0.116,0.305
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,-8.409,0.0335,0.206,122.062,0.107,0.453
Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,-8.409,0.0335,0.206,122.062,0.107,0.453
Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,-8.409,0.0335,0.206,122.062,0.107,0.453
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
High Speed,2DHgvPQD1jApRnT1DBZdrS,0.495,0.525,-9.342,0.0301,0.396,154.466,0.0961,0.249
Hope,2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,-6.081,0.0603,0.661,146.04,0.146,0.225
YESSIR!,2exdDhuNjyxtmJIKkbSWbo,0.769,0.612,-6.727,0.343,0.0777,174.135,0.0953,0.394
Manasu Maree,57xczqwxDF0HZsuPyVEJXa,0.695,0.501,-6.552,0.0316,0.767,120.076,0.106,0.511
Ego - Radio Edit,7g3HQ4npoO3Zrp9Zia0J0E,0.787,0.778,-5.428,0.0456,0.374,99.994,0.359,0.477
